custId,predRevenue
1794,0
1796,0
1798,0.06709368
1802,0
1805,0
1806,0
1808,0
1809,0
1811,0
1814,0
1816,2.241029485
1819,0
1821,0
1824,0
1825,0.083852166
1827,0
1828,0
1829,0
1830,2.031048037
1831,0
1832,0
1837,0.010866419
1838,0
1839,0
1841,0
1842,0
1843,0
1844,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1855,2.181703879
1858,0
1863,0
1866,0
1868,2.225868167
1869,0
1871,0
1875,0
1877,0
1878,0
1879,0
1881,0
1884,0
1887,0
1888,0
1890,0
1892,0
1893,0
1894,0
1895,0.090463108
1896,0
1898,0
1901,0
1902,0
1905,0
1907,0
1909,0
1912,0
1915,0
1917,2.350768919
1919,0
1920,0
1924,2.180096356
1929,0
1930,0
1931,2.783537378
1933,0
1935,0
1939,2.546651641
1940,0
1942,0
1944,0
1945,0
1947,0
1950,0
1953,0
1955,0
1957,0
1961,0
1962,2.241055622
1964,0
1965,0
1967,0
1968,0
1971,2.946969936
1972,0
1973,2.508814331
1976,0
1980,0
1981,0
1982,0
1983,0
1984,0
1990,0
1991,0
1992,0
1993,0
1998,0.042768198
2002,0
2003,0
2004,0
2006,0
2008,0
2009,0
2010,0
2011,0
2013,0
2014,2.40403319
2016,0
2017,0
2018,0
2019,0
2022,0
2027,0
2029,0
2030,0
2033,0
2038,0
2041,0
2043,0
2045,0
2048,0
2050,0
2053,0
2054,0
2056,0
2058,0
2065,0
2068,2.059888581
2069,0
2070,0
2072,0
2074,2.028060643
2076,0
2077,0
2078,0
2080,0
2081,0
2086,0
2088,0
2090,0
2095,0
2097,0
2099,0
2100,0
2101,0
2102,0
2107,0
2109,2.241043648
2110,0
2111,0
2113,0
2114,0
2117,0
2119,0
2121,0
2125,0
2126,2.101931878
2128,0
2129,0
2131,0
2132,0
2133,0
2134,0
2136,0
2137,0
2139,0
2140,0
2142,0.05036781
2143,0
2146,0.068360425
2148,0
2150,0
2151,0
2152,0
2154,0
2155,0.082207921
2156,0
2158,0
2159,2.241043648
2163,0
2165,2.687318569
2168,0
2169,2.241009747
2174,0
2176,0
2177,0
2179,0.037595202
2180,0
2183,0
2184,0
2186,0
2188,0
2193,0
2194,0
2195,0
2196,0
2197,2.31129472
2199,0
2202,0
2207,0
2208,0
2209,0
2211,0
2213,0
2214,2.185993354
2215,0
2217,0
2218,0
2220,0.050954199
2222,0
2223,0
2224,0
2227,0
2229,0
2230,0
2232,0
2233,0
2234,0
2236,0
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,0
2247,0
2248,0.095994608
2251,0.100580869
2253,2.173058547
2255,0
2260,0
2262,0
2263,0
2266,0
2271,0
2272,0
2275,0
2276,0
2279,0
2283,0
2284,0
2285,0
2293,0
2296,0
2299,0
2301,0.067880102
2302,0
2303,0
2304,0
2305,0
2309,0
2310,0
2312,0
2314,0
2316,0
2317,0
2320,0
2321,0
2325,0
2327,0
2328,0
2329,0.065459192
2331,0
2334,3.066472745
2338,0
2339,0
2341,0
2343,0
2345,3.312256601
2346,2.082198541
2347,0
2348,0
2350,0
2351,0
2360,0
2362,0
2363,0
2365,0
2366,0.07538072
2369,0
2374,0
2375,0
2378,0
2382,0
2384,0
2386,0
2387,2.610223891
2388,0
2390,0
2391,0
2392,0
2394,0
2397,0
2404,2.03375883
2406,0
2410,0
2411,0
2413,0.071530224
2414,2.676660831
2416,2.032292637
2417,0
2418,0
2420,0
2421,0
2423,0
2424,0.095348561
2427,0
2429,0
2430,0
2435,0
2437,0
2439,0.13467866
2440,0
2444,0
2445,0
2448,2.073527272
2452,0
2453,0
2455,0
2458,0
2460,0
2462,0
2463,0
2465,0
2470,0
2472,0
2473,0
2474,0
2475,0
2480,0
2481,0
2482,0
2483,0
2484,0
2485,0
2486,0
2488,0
2489,0
2490,0
2491,2.702030928
2492,0
2496,0
2497,0
2498,0
2500,0
2503,0
2504,2.892469629
2505,0
2506,0
2510,0
2511,0
2512,0
2513,0
2515,2.900914498
2516,0
2517,0
2519,0
2521,0
2523,0
2526,0
2527,0
2535,0
2538,0.087665246
2539,0
2541,2.103019893
2542,0
2544,0
2545,0
2547,0
2548,0
2549,0
2551,2.367546288
2559,0
2561,2.508800169
2563,2.933360129
2565,2.066998491
2566,0
2567,0
2569,0
2570,2.035134855
2571,0
2572,0
2576,0
2578,0
2580,0
2583,0
2584,0
2585,0
2586,0
2590,0
2595,0
2596,0
2600,0
2604,0
2605,0
2608,0
2614,0
2615,0
2616,0
2620,0
2621,0
2623,0
2631,0
2632,0
2633,2.099678236
2639,0
2646,0
2648,0
2650,0
2652,0
2653,0
2655,0.125039823
2656,0
2658,0
2661,0
2662,0
2665,0
2666,0
2667,0
2673,0.060443953
2674,3.029514912
2676,0
2677,0
2679,0
2685,0
2687,0
2689,0
2694,0
2696,0
2697,0
2698,0
2704,0
2706,0
2707,0
2709,0
2710,2.085127363
2712,0
2713,0
2714,2.079081301
2715,0
2716,0
2717,0
2720,0
2722,0
2723,0
2724,0
2728,0
2730,0.097055427
2731,0.046202796
2732,0
2733,0
2734,0
2735,0
2738,0
2739,0
2740,0
2743,0
2746,2.716344541
2751,0
2754,2.193597018
2758,0
2761,0
2764,0
2765,2.070024362
2770,2.030404472
2774,0
2775,2.070857793
2777,0
2781,0
2782,0
2783,0
2784,0
2785,0
2788,0
2794,0.101558135
2795,0
2796,0
2797,0
2799,0
2800,1.99591696
2801,0
2803,0
2806,0
2807,0
2808,0
2809,0
2810,0
2811,0
2812,0
2817,0
2819,0
2820,0
2822,2.184940968
2823,0
2825,0
2826,0
2828,0.032666016
2829,0
2831,0
2832,0
2836,0
2838,0
2839,0
2840,0
2842,0
2843,0
2844,0
2845,2.103461262
2846,0
2847,0.090743798
2848,0
2850,0
2855,0
2856,0.16171428
2860,0
2861,0
2863,2.179034462
2864,0
2867,0
2869,0
2871,0
2872,0
2873,0
2874,0.084064135
2875,0
2876,0
2877,0
2879,0.071409877
2880,0
2883,0
2885,0
2886,0
2887,0
2889,0
2893,0
2894,0
2895,0
2901,0
2902,0
2907,0
2911,0
2912,3.038638188
2913,0
2916,0
2919,2.201678009
2920,0
2923,0
2924,0
2926,0
2927,2.863648707
2929,0
2930,0
2932,0.098834569
2935,0
2941,0
2943,0
2944,0
2945,0.085514864
2946,0
2947,2.332077083
2949,0
2950,0
2951,0.146242763
2954,0
2957,2.081384875
2959,0
2960,0
2964,0
2965,0
2968,0
2972,0
2973,0
2974,0
2975,2.06227704
2977,0
2979,0.091268054
2981,0
2983,0
2984,0
2985,0
2986,0.12205077
2989,0
2991,0
2994,0
2995,2.187825101
2998,0
3000,0
3002,0
3003,0
3007,0
3010,0.061340483
3011,0
3013,2.018896325
3014,0
3017,0
3018,0
3019,0
3020,0
3021,2.423860948
3025,2.223829475
3027,0
3028,0
3031,0
3032,0
3033,0
3034,0
3038,0
3040,2.30560218
3041,0
3042,0
3048,0
3051,0
3054,0
3062,0
3064,0
3065,0
3068,0
3069,0
3071,0
3072,0
3073,0
3078,0
3081,2.375855361
3082,0
3083,0
3084,0
3085,0
3086,0
3087,0
3089,0
3090,0
3092,0
3093,0
3095,0
3097,0
3102,0
3103,2.068048291
3104,0
3106,0
3107,0
3109,0
3113,0
3114,0
3115,2.175071163
3122,0
3123,0
3127,0
3128,0
3131,0
3134,0
3136,0
3140,3.040074343
3141,0
3142,0.038987316
3147,0
3149,0
3151,2.095070245
3153,0
3154,0
3159,0
3161,0
3162,2.077307636
3165,0
3168,2.326416606
3169,0
3171,0
3172,0.074925737
3173,0
3174,0
3176,0
3177,2.292746662
3178,0
3179,0.090086219
3180,0
3181,0
3185,2.070904896
3192,0
3193,0
3194,0
3195,0.067967536
3198,2.295373148
3205,0
3207,0
3208,0
3209,0
3212,0
3214,0
3216,0
3217,0
3218,0
3221,0
3222,0
3223,0
3224,0
3225,0
3226,0
3228,0
3229,0
3230,0
3232,0
3234,0
3235,0
3236,0
3237,0
3239,0
3240,0
3241,0
3242,2.518453483
3244,0
3247,0
3248,0
3249,0
3250,0.097557239
3251,0
3254,0
3255,0
3256,0
3257,0
3258,0
3259,2.086198621
3261,0
3264,0
3267,0
3268,0
3274,0
3276,0
3278,0
3279,0.074042043
3280,0
3281,0
3284,0
3285,0
3287,0
3289,0
3291,0
3296,0.042584844
3297,0
3298,0
3301,0
3302,0
3304,0
3307,0
3308,0
3312,0
3313,2.200688792
3314,0
3315,0
3318,0.040248302
3320,0
3321,0
3322,0
3323,0
3326,0
3330,0.100473178
3331,0
3336,0
3339,0
3341,0
3344,2.213011322
3346,0
3349,0
3351,0
3352,0
3354,0
3355,0
3362,2.190514116
3363,0
3367,2.938695524
3371,2.509266486
3373,0
3375,0
3378,0
3380,0
3381,0
3389,0
3393,0
3394,0
3396,0
3397,0.095134246
3398,0
3402,0
3404,2.241097491
3405,0
3406,0
3407,0
3408,0
3409,0
3412,0
3413,0
3418,0.171915599
3419,0
3420,0
3421,0
3423,0
3424,0
3428,0
3429,0
3431,0
3433,0
3435,0
3438,0.021258623
3441,0
3442,2.537008443
3446,0
3447,0
3448,0
3449,0
3452,0
3455,2.815314195
3457,0
3458,0
3460,0
3461,0
3464,0
3465,0
3468,0
3470,0
3473,0
3474,0
3475,0
3478,2.890183763
3480,0
3488,0
3491,0
3493,0
3494,0
3495,0
3496,0
3498,0
3500,0
3501,0
3503,0
3507,0
3512,0
3515,0
3516,2.041050342
3517,0
3518,2.102350209
3520,0
3521,0
3522,0
3525,0.03580134
3528,0
3529,0
3532,2.150063357
3534,0
3535,0
3536,0
3540,0
3542,0
3543,0.010213401
3544,0
3547,0
3552,0
3553,0
3554,0
3555,0.133844162
3556,0
3558,0
3559,0
3562,0
3566,0
3570,0
3572,0
3573,0
3574,0
3577,0
3580,0
3582,0
3584,0
3587,0.130274648
3588,0
3590,0
3592,0
3595,0.053477511
3596,0
3597,0
3599,0
3600,0
3601,0
3602,0
3603,0
3604,0
3605,0
3613,0
3617,0
3618,0
3620,0
3621,0
3622,0
3625,0
3628,0
3629,0
3630,2.026237803
3632,0
3633,0
3634,0
3635,0
3636,0
3637,0
3638,0
3640,0
3643,0
3645,0
3648,0.094039152
3649,0
3650,0
3651,0
3652,0
3654,0
3655,0
3659,0
3660,0
3661,0
3662,0
3664,0
3667,0
3668,0
3670,0
3671,0
3672,0
3673,0
3675,0
3676,2.04675453
3678,0
3679,0
3681,2.596143921
3683,0
3685,0
3687,0.154673586
3690,0
3691,0
3692,0
3693,0
3694,0
3695,0
3697,0
3698,0
3700,0
3702,0
3703,0
3705,0
3706,0
3710,0
3711,0
3712,2.218397643
3713,0
3716,0
3718,0
3720,0
3721,0
3724,0
3726,0
3729,2.324902878
3730,2.180727908
3733,0
3734,0
3735,0
3739,0
3740,0
3742,0
3743,0
3748,0
3749,0
3751,2.301002827
3753,0.099748925
3754,2.056201049
3758,0.084349898
3759,0
3760,0
3761,0
3762,0.133485366
3764,0
3766,0
3767,0
3770,2.574710195
3771,0
3772,0
3774,0
3775,0
3777,0
3778,0
3779,0
3780,0
3783,0
3784,0
3787,0
3789,0
3791,0
3794,0
3795,2.494348607
3797,0
3798,0
3799,2.187772269
3800,0
3801,0
3803,2.68960753
3805,0
3806,0
3808,0
3811,2.179616196
3814,0
3815,2.541249377
3818,0
3819,0
3821,0
3822,0
3824,0
3825,0
3826,0
3827,0
3828,0
3829,0
3830,0
3833,0
3834,0
3836,0
3837,0
3838,0
3839,0
3840,0
3842,0
3844,0
3849,0
3850,0
3853,0
3856,0
3859,0
3860,0
3864,0
3866,0
3867,0
3869,0
3870,0.068448888
3872,0.045358389
3873,0.102767633
3874,0
3877,0
3879,0
3881,0
3882,0
3885,0
3887,0
3889,0
3892,0
3893,0
3894,0
3896,0
3898,0
3900,0
3901,0
3904,2.390786835
3908,0
3913,0
3914,0
3915,0
3917,0
3918,0
3919,0
3920,0.078682766
3923,0
3926,0.030895077
3928,0
3929,0
3932,0
3933,0
3935,0
3937,0
3938,0
3941,0.125995154
3942,0
3945,0
3946,0
3952,0
3953,0
3957,0
3959,0.184317874
3960,0
3961,0
3962,0
3963,0
3964,3.76956968
3966,2.60219911
3968,0
3969,0
3970,0
3971,0
3972,0
3973,0
3976,0
3977,0
3979,0.068650777
3980,0
3981,0
3982,0
3985,0
3986,0
3987,0
3988,0
3989,2.536443161
3991,0
3992,0
3994,0
3997,0
4000,0
4001,0.011102345
4002,0
4004,0
4007,0
4009,0
4011,0
4012,0
4013,0
4015,0
4017,0
4018,0
4022,0
4023,0
4027,2.830330976
4028,0
4030,0
4032,0
4033,0
4034,0
4035,0
4038,0
4039,0
4041,0
4042,0
4044,0
4048,0
4053,0
4054,0
4056,0
4059,0
4060,0
4061,0
4062,0
4064,0
4068,0
4069,0
4071,0
4072,0
4073,0
4075,0
4078,0
4079,0
4081,0
4085,0
4086,0
4087,0
4088,0
4089,2.198796073
4090,0
4093,0
4095,0
4096,0
4098,0
4099,0
4102,0
4103,0.031006845
4105,0
4106,0
4107,0
4108,0
4112,0
4114,0
4115,0
4116,2.227082233
4117,0
4119,0
4120,0
4122,2.209029292
4124,0
4125,0
4127,0
4128,0
4129,0
4130,0
4131,0
4133,2.998701821
4135,0
4138,0
4143,0
4144,2.293390226
4149,0
4150,2.05438144
4151,0
4152,0
4153,0
4155,0
4157,0
4158,0
4159,0
4160,0
4170,0
4171,0
4173,0
4175,0
4176,0
4177,0
4178,0
4179,0
4180,0
4181,0
4182,0
4183,2.270042589
4184,2.228532824
4185,0
4187,0.064861797
4188,0
4189,0
4190,0
4191,0.067262939
4193,0
4197,0.0824486
4198,0
4199,0
4200,0
4202,0
4205,3.090754898
4209,0
4210,0
4212,0
4213,0
4214,0
4215,0
4217,0
4218,0
4220,0
4221,0
4222,0
4224,0
4225,2.955602939
4230,0
4231,0
4235,2.04674632
4236,0
4238,0
4239,0
4242,0
4245,0
4247,0
4248,0
4251,0
4252,0
4254,0.087885039
4260,0
4262,0
4263,0
4264,0
4267,0
4269,0
4273,0
4276,0
4282,0.040452551
4285,0
4286,0
4289,0
4290,0
4291,0
4293,0
4295,0
4296,0
4297,0
4298,0
4299,0
4300,0
4303,2.12064263
4304,0
4305,2.833414133
4306,0
4307,0
4308,0.139730112
4309,0
4314,0
4322,0
4325,0
4326,0
4327,0
4328,0
4329,0
4331,0
4336,0
4337,0
4340,0
4343,0.046849428
4345,2.131614904
4346,0
4348,0
4350,0
4351,0
4355,0
4356,0
4363,0
4365,0
4368,0
4369,0.03135212
4370,0
4371,0
4374,0
4375,2.172002682
4382,0
4384,0.101319251
4385,2.643661179
4386,0
4387,0
4388,0
4389,0
4393,0
4394,0
4395,0
